QMTCODE,JJCODE,NAME,CLASS1,CLASS2,CLASS3,CONCEPTIONS,BENCHMARK
002869.SZ,SZSE.002869,金溢科技,计算机,计算机设备,其他计算机设备,"ETC,UWB概念,百度概念,边缘计算,车联网(车路云),电子车牌,电子后视镜,国产软件,鸿蒙概念,华为概念,区块链,人工智能,融资融券,深股通,深圳特区,数据要素,数字经济,数字孪生,无人驾驶,物联网,移动支付,专精特新",A
002870.SZ,SZSE.002870,香山股份,汽车,汽车零部件,汽车电子电气系统,"QFII重仓,充电桩,低空经济,飞行汽车(eVTOL),高压快充,华为汽车,机构重仓,人工智能,人形机器人,特斯拉,新能源车,智能穿戴",B
002891.SZ,SZSE.002891,中宠股份,农林牧渔,饲料,宠物食品,"阿里概念,宠物经济,电商概念,融资融券,深股通,转债标的",C
002892.SZ,SZSE.002892,科力尔,电力设备,电机Ⅱ,电机Ⅲ,"3D打印,工业母机,华为概念,机器人概念,人工智能,融资融券,深股通,新能源车,智能家居,专精特新",A
002896.SZ,SZSE.002896,中大力德,机械设备,通用设备,金属制品,"机器人概念,机器人执行器,减速器,人形机器人,融资融券,深股通",A
002899.SZ,SZSE.002899,英派斯,轻工制造,文娱用品,娱乐用品,"冰雪经济,机构重仓,体育产业",B
002906.SZ,SZSE.002906,华阳集团,汽车,汽车零部件,汽车电子电气系统,"百度概念,车联网(车路云),创投,电子后视镜,飞行汽车(eVTOL),股权激励,华为概念,华为汽车,汽车热管理,汽车一体化压铸,融资融券,深成500,深股通,胎压监测,无人驾驶,无线充电,小米汽车,英伟达概念",B
002916.SZ,SZSE.002916,深南电路,电子,元件,印制电路板,"5G概念,HS300_,MSCI中国,PCB,百元股,标准普尔,富时罗素,富士康,国产芯片,华为概念,苹果概念,融资融券,深成500,深股通,深证100R,深圳特区,央国企改革,中特估",A
002917.SZ,SZSE.002917,金奥博,基础化工,化学制品,民爆制品,"工业互联,机器人概念,机器视觉,军工,民爆概念,人工智能,深圳特区,一带一路,专精特新",A
002919.SZ,SZSE.002919,名臣健康,传媒,游戏Ⅱ,游戏Ⅲ,"抖音概念(字节概念),化妆品概念,网络游戏,虚拟现实,元宇宙概念,增强现实",A
002920.SZ,SZSE.002920,德赛西威,计算机,软件开发,垂直应用软件,"HS300_,MSCI中国,百度概念,百元股,标准普尔,车联网(车路云),传感器,富时罗素,毫米波概念,华为概念,华为汽车,机构重仓,融资融券,深成500,深股通,深证100R,无人驾驶,小米汽车",A
002922.SZ,SZSE.002922,伊戈尔,电子,其他电子Ⅱ,其他电子Ⅲ,"被动元件,充电桩,储能,高压快充,华为概念,融资融券,深股通,数据中心,太阳能,新能源车",A
002928.SZ,SZSE.002928,华夏航空,交通运输,航空机场,航空运输,"2025中报预增,标准普尔,富时罗素,融资融券,深股通,西部大开发",C
002932.SZ,SZSE.002932,明德生物,医药生物,医疗器械,体外诊断,"2025中报预减,病毒防治,痘病毒防治,辅助生殖,破净股,人工智能,融资融券,深股通,体外诊断,医疗器械概念,专精特新",B
002940.SZ,SZSE.002940,昂利康,医药生物,化学制药,化学制剂,"宠物经济,创新药,合成生物,深股通",B
002943.SZ,SZSE.002943,宇晶股份,机械设备,通用设备,机床工具,"2025中报预减,AI眼镜,半导体概念,工业母机,机构重仓,融资融券,深股通,太阳能,稀土永磁,养老金,昨日连板_含一字,昨日涨停_含一字",A
002946.SZ,SZSE.002946,新乳业,食品饮料,饮料乳品,乳品,"融资融券,乳业,深股通,西部大开发,新零售,转债标的",B
002956.SZ,SZSE.002956,西麦食品,食品饮料,休闲食品,烘焙食品,"基金重仓,西部大开发",B
002971.SZ,SZSE.002971,和远气体,基础化工,化学制品,其他化学制品,"工业气体,氦气概念,湖北自贸,化工原料,机构重仓,节能环保,氢能源,燃料电池,深股通,天然气,尾气治理,新能源车,专精特新",A
002979.SZ,SZSE.002979,雷赛智能,机械设备,自动化设备,机器人,"PLC概念,华为概念,机器人概念,机器人执行器,人工智能,人形机器人,深股通,深圳特区,专精特新",A
002985.SZ,SZSE.002985,北摩高科,国防军工,航空装备Ⅱ,航空装备Ⅲ,"2025三季报预增,大飞机,低空经济,富时罗素,军工,军民融合,融资融券,商业航天,深股通,铁路基建,通用航空,无人机",A
003006.SZ,SZSE.003006,百亚股份,美容护理,个护用品,生活用纸,"电商概念,深股通,西部大开发,婴童概念",C
003010.SZ,SZSE.003010,若羽臣,商贸零售,互联网电商,电商服务,"2025中报预增,电商概念,抖音小店,拼多多概念,社区团购,深股通,网红经济,小红书概念,虚拟现实,婴童概念,增强现实",B
003021.SZ,SZSE.003021,兆威机电,电力设备,电机Ⅱ,电机Ⅲ,"5G概念,百元股,华为概念,华为汽车,混合现实,机器人概念,减速器,人形机器人,荣耀概念,融资融券,深成500,深股通,深圳特区,小米概念,新能源车,医疗器械概念,智能家居,中证500",A
300001.SZ,SZSE.300001,特锐德,电力设备,电网设备,输变电设备,"2025中报预增,MSCI中国,PPP模式,充电桩,储能,创业板综,创业成份,富时罗素,高压快充,工业互联,华为概念,机器人概念,人工智能,融资融券,深成500,深股通,数据中心,铁路基建,新能源车,虚拟电厂,雅下水电概念,一带一路,智能电网,中证500",A
300003.SZ,SZSE.300003,乐普医疗,医药生物,医疗器械,医疗耗材,"GDR,MSCI中国,病毒防治,参股保险,创业板综,创业成份,痘病毒防治,富时罗素,互联医疗,精准医疗,人工智能,人脑工程,融资融券,深成500,深股通,体外诊断,央视50_,医疗美容,医疗器械概念,中证500,转债标的",B
300007.SZ,SZSE.300007,汉威科技,机械设备,通用设备,仪器仪表,"传感器,创投,创业板综,地下管网,电子身份证,工业互联,国产芯片,核污染防治,互联医疗,华为概念,机器人概念,节能环保,氢能源,区块链,人脑工程,人形机器人,融资融券,深股通,数字货币,数字孪生,胎压监测,无人机,无线耳机,物联网,小米概念,新能源车,元宇宙概念,智慧城市,智能穿戴,智能家居,专精特新",A
300008.SZ,SZSE.300008,天海防务,国防军工,航海装备Ⅱ,航海装备Ⅲ,"长江三角,创业板综,风能,海工装备,海洋经济,军工,军民融合,融资融券,深股通,数字孪生,天然气,一带一路,专精特新",A
300009.SZ,SZSE.300009,安科生物,医药生物,生物制品,其他生物制品,"AI制药（医疗）,CAR-T细胞疗法,病毒防治,创新药,创业板综,单抗概念,辅助生殖,富时罗素,肝炎概念,基因测序,精准医疗,免疫治疗,人工智能,融资融券,深成500,深股通,医疗美容,医疗器械概念,中药概念",B
300012.SZ,SZSE.300012,华测检测,社会服务,专业服务,检测服务,"CRO,MSCI中国,QFII重仓,创新药,创业板综,创业成份,低空经济,电商概念,房屋检测,基因测序,融资融券,深成500,深股通,深圳特区,食品安全,碳交易,土壤修复,养老金,中证500",C
300014.SZ,SZSE.300014,亿纬锂能,电力设备,电池,锂电池,"HS300_,MSCI中国,充电桩,储能,创业板综,创业成份,低空经济,电子烟,富时罗素,固态电池,国家安防,机器人概念,茅指数,钠离子电池,宁组合,融资融券,深成500,深股通,深证100R,胎压监测,无线耳机,新能源车,转债标的,锂电池,锂矿概念",A
300015.SZ,SZSE.300015,爱尔眼科,医药生物,医疗服务,医院,"HS300_,MSCI中国,创业板综,创业成份,富时罗素,互联医疗,茅指数,宁组合,融资融券,深成500,深股通,深证100R,养老概念,医疗美容,医疗器械概念",B
300017.SZ,SZSE.300017,网宿科技,计算机,IT服务Ⅱ,IT服务Ⅲ,"AIGC概念,IPv6,MSCI中国,边缘计算,长江三角,超清视频,创业板综,创业成份,大数据,电商概念,富时罗素,股权激励,华为概念,人工智能,融资融券,深成500,深股通,数据中心,算力概念,网红经济,网络安全,虚拟数字人,液冷概念,一带一路,元宇宙概念,云计算,在线教育,中证500",A
300024.SZ,SZSE.300024,机器人,机械设备,自动化设备,机器人,"3D打印,UWB概念,半导体概念,参股保险,创业板综,创业成份,富时罗素,工业互联,机器人概念,机器视觉,军工,人工智能,人形机器人,融资融券,深成500,深股通,特斯拉,央国企改革,央视50_,养老概念,医疗器械概念,中证500",A
300031.SZ,SZSE.300031,宝通科技,传媒,游戏Ⅱ,游戏Ⅲ,"百度概念,长江三角,创投,创业板综,富时罗素,工业互联,谷子经济,股权激励,光刻机(胶),机器人概念,人工智能,人形机器人,融资融券,深股通,网络游戏,无人驾驶,虚拟数字人,虚拟现实,元宇宙概念,增强现实",A
300033.SZ,SZSE.300033,同花顺,计算机,软件开发,垂直应用软件,"AIGC概念,AI应用,ChatGPT概念,HS300_,MSCI中国,百元股,长江三角,创业板综,创业成份,大数据,富时罗素,国产软件,鸿蒙概念,互联金融,机构重仓,区块链,券商概念,人工智能,融资融券,深成500,深股通,深证100R,数据要素,虚拟机器人,云计算,证金持股",A
300037.SZ,SZSE.300037,新宙邦,电力设备,电池,电池化学品,"MSCI中国,OLED,半导体概念,超级电容,创业板综,创业成份,氟化工,富时罗素,固态电池,融资融券,深成500,深股通,深圳特区,特斯拉,新能源车,液冷概念,中证500,转债标的,锂电池",A
300043.SZ,SZSE.300043,星辉娱乐,传媒,游戏Ⅱ,游戏Ⅲ,"AI应用,NFT概念,QFII重仓,创业板综,电子竞技,抖音概念(字节概念),富时罗素,谷子经济,机构重仓,深股通,网络游戏,婴童概念,元宇宙概念",A
300045.SZ,SZSE.300045,华力创通,国防军工,军工电子Ⅱ,军工电子Ⅲ,"半导体概念,北斗导航,创投,创业板综,大飞机,低空经济,富时罗素,国产芯片,军工,军民融合,空间站概念,人工智能,融资融券,商业航天,深股通,数字孪生,网络安全,卫星互联网,无人机,虚拟现实,元宇宙概念",A
300049.SZ,SZSE.300049,福瑞医科,医药生物,医疗器械,医疗设备,"参股保险,创业板综,肝炎概念,互联医疗,融资融券,深股通,西部大开发,医疗器械概念,婴童概念,中药概念",B
300054.SZ,SZSE.300054,鼎龙股份,电子,电子化学品Ⅱ,电子化学品Ⅲ,"MSCI中国,OLED,半导体概念,创业板综,创业成份,富时罗素,光刻机(胶),国产芯片,融资融券,柔性屏(折叠屏),深成500,深股通,中芯概念,中证500,转债标的",A
300058.SZ,SZSE.300058,蓝色光标,传媒,广告营销,营销代理,"AIGC概念,AI应用,AI智能体,ChatGPT概念,NFT概念,Sora概念,Web3.0,百度概念,创业板综,创业成份,大数据,抖音概念(字节概念),短剧互动游戏,富时罗素,机器人概念,跨境电商,快手概念,区块链,人工智能,融资融券,深成500,深股通,网红经济,小红书概念,虚拟数字人,元宇宙概念,在线教育,职业教育,智谱AI,中证500",A
300059.SZ,SZSE.300059,东方财富,非银金融,证券Ⅱ,证券Ⅲ,"AIGC概念,AI应用,HS300_,MSCI中国,参股期货,长江三角,创业板综,创业成份,大数据,富时罗素,国产软件,鸿蒙概念,互联金融,基金重仓,茅指数,区块链,券商概念,人工智能,融资融券,深成500,深股通,深证100R,数据要素,网红经济,虚拟机器人,证金持股",B
300068.SZ,SZSE.300068,南都电源,电力设备,电池,蓄电池及其他电池,"5G概念,阿里概念,长江三角,储能,创业板综,动力电池回收,风能,富时罗素,固态电池,核能核电,华为概念,钠离子电池,氢能源,燃料电池,融资融券,深股通,石墨烯,数据中心,小金属概念,新能源车,虚拟电厂,锂电池",A
300073.SZ,SZSE.300073,当升科技,电力设备,电池,电池化学品,"参股新三板,储能,创业板综,创业成份,富时罗素,固态电池,钠离子电池,苹果概念,融资融券,深成500,深股通,小金属概念,新材料,新能源车,央国企改革,中证500,锂电池",A
300074.SZ,SZSE.300074,华平股份,计算机,软件开发,垂直应用软件,"DRG/DIP,QFII重仓,超清视频,充电桩,创业板综,大数据,低空经济,股权激励,国家安防,互联医疗,机构重仓,微盘股,远程办公,在线教育,增强现实,智慧城市,智慧政务",A
300101.SZ,SZSE.300101,振芯科技,国防军工,军工电子Ⅱ,军工电子Ⅲ,"北斗导航,创业板综,富时罗素,国产芯片,国家安防,航母概念,机器人概念,军民融合,人工智能,融资融券,深股通,卫星互联网,无人机,西部大开发,专精特新",A
300113.SZ,SZSE.300113,顺网科技,传媒,游戏Ⅱ,游戏Ⅲ,"AI应用,AI智能体,DeepSeek概念,Web3.0,百度概念,边缘计算,创业板综,大数据,电子竞技,抖音概念(字节概念),多模态AI,富时罗素,谷子经济,华为概念,盲盒经济,人工智能,融资融券,深股通,首发经济,数据确权,算力概念,网红经济,网络安全,网络游戏,虚拟数字人,虚拟现实,英伟达概念,元宇宙概念,云计算",A
300115.SZ,SZSE.300115,长盈精密,电子,消费电子,消费电子零部件及组装,"5G概念,AIPC,AI眼镜,MSCI中国,储能,创业板综,创业成份,电子烟,富时罗素,国产芯片,机器人概念,减速器,苹果概念,燃料电池,人形机器人,融资融券,柔性屏(折叠屏),深成500,深股通,深圳特区,特斯拉,铜缆高速连接,无线耳机,小米概念,新能源车,虚拟现实,智能穿戴,中证500",A
300118.SZ,SZSE.300118,东方日升,电力设备,光伏设备,光伏电池组件,"HIT电池,TOPCon电池,储能,创业板综,富时罗素,钙钛矿电池,华为概念,融资融券,深股通,太阳能,新能源,昨日涨停,昨日涨停_含一字",A
300122.SZ,SZSE.300122,智飞生物,医药生物,生物制品,疫苗,"CAR-T细胞疗法,HS300_,MSCI中国,病毒防治,创业板综,创业成份,独家药品,富时罗素,减肥药,精准医疗,茅指数,融资融券,深成500,深股通,深证100R,生物疫苗,西部大开发",B
300124.SZ,SZSE.300124,汇川技术,机械设备,自动化设备,工控设备,"HS300_,MSCI中国,PLC概念,储能,创业板综,创业成份,富时罗素,工业互联,工业母机,机器人概念,茅指数,宁组合,人形机器人,融资融券,深成500,深股通,深证100R,深圳特区,小米汽车,新能源车,新型工业化,央视50_",A
300136.SZ,SZSE.300136,信维通信,电子,消费电子,消费电子零部件及组装,"5G概念,6G概念,MLCC,MSCI中国,UWB概念,WiFi,被动元件,车联网(车路云),创业板综,创业成份,电子烟,富时罗素,毫米波概念,华为概念,混合现实,苹果概念,融资融券,柔性屏(折叠屏),商业航天,深成500,深股通,深圳特区,特斯拉,卫星互联网,无线充电,无线耳机,央视50_,智能穿戴,中证500",A
300139.SZ,SZSE.300139,晓程科技,有色金属,贵金属,黄金,"PPP模式,QFII重仓,半导体概念,创业板综,国产芯片,黄金概念,机构重仓,绿色电力,民爆概念,融资融券,深股通,太阳能,一带一路,智能电网",A
300142.SZ,SZSE.300142,沃森生物,医药生物,生物制品,疫苗,"病毒防治,创业板综,创业成份,单抗概念,富时罗素,流感,融资融券,深成500,深股通,生物疫苗,西部大开发,中证500",B
300144.SZ,SZSE.300144,宋城演艺,社会服务,旅游及景区,人工景区,"MSCI中国,PPP模式,创业板综,创业成份,电子竞技,富时罗素,旅游概念,融资融券,深成500,深股通,网红经济,虚拟现实,元宇宙概念,中证500",C
300146.SZ,SZSE.300146,汤臣倍健,食品饮料,食品加工,保健品,"创业板综,创业成份,富时罗素,融资融券,深成500,深股通,养老概念,婴童概念,中证500",B
300148.SZ,SZSE.300148,天舟文化,传媒,出版,教育出版,"2025中报预增,NFT概念,创投,创业板综,区块链,人工智能,数据确权,网络游戏,虚拟数字人,虚拟现实,元宇宙概念,增强现实",A
300153.SZ,SZSE.300153,科泰电源,电力设备,其他电源设备Ⅱ,其他电源设备Ⅲ,"5G概念,储能,创业板综,发电机概念,核能核电,华为概念,节能环保,融资融券,深股通,数据中心,专精特新",A
300161.SZ,SZSE.300161,华中数控,机械设备,通用设备,机床工具,"3D打印,边缘计算,病毒防治,创业板综,工业互联,工业母机,机器人概念,军工,人工智能,深股通,数字孪生,数字哨兵,新能源车,职业教育,锂电池",A
300170.SZ,SZSE.300170,汉得信息,计算机,IT服务Ⅱ,IT服务Ⅲ,"AIGC概念,AI应用,AI智能体,C2M概念,DeepSeek概念,ERP概念,Kimi概念,阿里概念,百度概念,财税数字化,车联网(车路云),创业板综,大数据,抖音概念(字节概念),富时罗素,工业互联,国产软件,华为概念,区块链,人工智能,融资融券,深股通,数据要素,数字经济,小米概念,新型工业化,信创,虚拟数字人,云计算,智谱AI",A
300181.SZ,SZSE.300181,佐力药业,医药生物,中药Ⅱ,中药Ⅲ,"CAR-T细胞疗法,创新药,创业板综,独家药品,独角兽,精准医疗,免疫治疗,融资融券,深股通,中药概念",B
300191.SZ,SZSE.300191,潜能恒信,石油石化,油服工程,油气及炼化工程,"创业板综,富时罗素,融资融券,深股通,天然气,油气设服",B
300204.SZ,SZSE.300204,舒泰神,医药生物,化学制药,化学制剂,"创新药,创业板综,单抗概念,融资融券,深股通",B
300207.SZ,SZSE.300207,欣旺达,电力设备,电池,锂电池,"GDR,MSCI中国,储能,创业板综,创业成份,第三代半导体,电子烟,富时罗素,高压快充,固态电池,华为概念,钠离子电池,苹果概念,融资融券,深成500,深股通,深圳特区,石墨烯,无线充电,无线耳机,小米概念,新能源车,星闪概念,虚拟现实,中证500,锂电池,锂矿概念",A
300213.SZ,SZSE.300213,佳讯飞鸿,通信,通信设备,其他通信设备,"AI应用,百度概念,边缘计算,创业板综,工业互联,国家安防,华为概念,军工,军民融合,空间站概念,跨境电商,人工智能,商业航天,深股通,数据安全,铁路基建,无人机,物联网,一带一路,元宇宙概念,云计算,专精特新",A
300218.SZ,SZSE.300218,安利股份,基础化工,塑料,其他塑料制品,"AI手机,创业板综,华为概念,机构重仓,苹果概念,荣耀概念,体育产业,小米概念",A
300222.SZ,SZSE.300222,科大智能,电力设备,电网设备,电网自动化设备,"5G概念,充电桩,储能,创业板综,独角兽,富时罗素,高压快充,工业互联,换电概念,机器人概念,人工智能,融资融券,深股通,特高压,特斯拉,物联网,小米汽车,新能源车,新型工业化,智能电网",A
300223.SZ,SZSE.300223,北京君正,电子,半导体,数字芯片设计,"MSCI中国,MiniLED,OLED,百元股,半导体概念,超清视频,创业板综,创业成份,存储芯片,富时罗素,国产芯片,机器人概念,汽车芯片,人工智能,融资融券,深成500,深股通,物联网,智能穿戴,中证500",A
300233.SZ,SZSE.300233,金城医药,医药生物,化学制药,化学制剂,"AI制药（医疗）,病毒防治,创新药,创业板综,电子烟,富时罗素,工业大麻,合成生物,融资融券,深股通,石墨烯,养老金",B
300251.SZ,SZSE.300251,光线传媒,传媒,影视院线,影视动漫制作,"DeepSeek概念,HS300_,MSCI中国,参股新三板,参股银行,创业板综,创业成份,富时罗素,谷子经济,融资融券,深成500,深股通,网红经济,网络游戏,虚拟数字人,虚拟现实,英伟达概念,影视概念,元宇宙概念",A
300253.SZ,SZSE.300253,卫宁健康,计算机,软件开发,垂直应用软件,"AI应用,AI智能体,DRG/DIP,DeepSeek概念,创业板综,创业成份,富时罗素,国产软件,互联医疗,蚂蚁概念,区块链,人工智能,融资融券,深成500,深股通,信创,养老概念,转债标的",A
300258.SZ,SZSE.300258,精锻科技,汽车,汽车零部件,底盘与发动机系统,"创业板综,机器人概念,减速器,人形机器人,融资融券,深股通,新能源车,养老金",B
300260.SZ,SZSE.300260,新莱应材,机械设备,通用设备,金属制品,"OLED,半导体概念,创业板综,光刻机(胶),融资融券,深股通,食品安全,液冷概念",A
300274.SZ,SZSE.300274,阳光电源,电力设备,光伏设备,逆变器,"HS300_,MSCI中国,阿里概念,百元股,充电桩,储能,创业板综,创业成份,风能,富时罗素,基金重仓,茅指数,宁组合,氢能源,融资融券,深成500,深股通,深证100R,太阳能,新能源车,云计算",A
300276.SZ,SZSE.300276,三丰智能,机械设备,自动化设备,机器人,"创业板综,工业互联,机器人概念,人工智能,融资融券,深股通,特斯拉,新型工业化,专精特新",A
300285.SZ,SZSE.300285,国瓷材料,电子,电子化学品Ⅱ,电子化学品Ⅲ,"3D打印,MLCC,QFII重仓,被动元件,创业板综,创业成份,富时罗素,固态电池,节能环保,蓝宝石,融资融券,商业航天,深成500,深股通,新材料,新能源车,中证500",A
300298.SZ,SZSE.300298,三诺生物,医药生物,医疗器械,医疗设备,"创业板综,富时罗素,互联医疗,融资融券,深股通,体外诊断,医疗器械概念,转债标的",B
300304.SZ,SZSE.300304,云意电气,汽车,汽车零部件,汽车电子电气系统,"半导体概念,储能,创投,创业板综,国产芯片,节能环保,汽车热管理,汽车芯片,深股通,胎压监测,太阳能,尾气治理,无人驾驶,新能源车,养老金,专精特新",B
300308.SZ,SZSE.300308,中际旭创,通信,通信设备,通信网络设备及器件,"2025中报预增,5G概念,CPO概念,F5G概念,HS300_,MSCI中国,百元股,贬值受益,创业板综,创业成份,富时罗素,光通信模块,基金重仓,节能环保,融资融券,深成500,深股通,深证100R,算力概念,无人驾驶,云计算",A
300315.SZ,SZSE.300315,掌趣科技,传媒,游戏Ⅱ,游戏Ⅲ,"AIGC概念,ChatGPT概念,百度概念,创业板综,电子竞技,抖音概念(字节概念),富时罗素,谷子经济,融资融券,深股通,网络游戏,小米概念,虚拟现实,英伟达概念",A
300316.SZ,SZSE.300316,晶盛机电,电力设备,光伏设备,光伏加工设备,"AI眼镜,HS300_,LED,MSCI中国,半导体概念,创业板综,创业成份,第三代半导体,富时罗素,国产芯片,蓝宝石,培育钻石,融资融券,深成500,深股通,太阳能,碳化硅,新材料,昨日触板",A
300339.SZ,SZSE.300339,润和软件,计算机,IT服务Ⅱ,IT服务Ⅲ,"AI应用,AI智能体,DeepSeek概念,MSCI中国,阿里概念,边缘计算,财税数字化,创投,创业板综,创业成份,大数据,富时罗素,国产软件,国产芯片,鸿蒙概念,互联金融,华为昇腾,华为概念,华为海思,华为欧拉,华为汽车,机器人概念,跨境支付,蚂蚁概念,区块链,人工智能,融资融券,深成500,深股通,算力概念,网络安全,无人驾驶,物联网,信创,星闪概念,虚拟现实,元宇宙概念,云计算,在线教育,智慧城市,智慧政务,智能电网,中证500",A
300346.SZ,SZSE.300346,南大光电,电子,电子化学品Ⅱ,电子化学品Ⅲ,"LED,OLED,半导体概念,创业板综,创业成份,氮化镓,第四代半导体,氟化工,富时罗素,工业气体,股权激励,光刻机(胶),机构重仓,融资融券,深成500,深股通,新材料,中芯概念,中证500,专精特新",A
300347.SZ,SZSE.300347,泰格医药,医药生物,医疗服务,医疗研发外包,"AH股,AIGC概念,CRO,HS300_,MSCI中国,病毒防治,创新药,创业板综,创业成份,富时罗素,肝炎概念,互联医疗,基金重仓,宁组合,人工智能,融资融券,深成500,深股通,生物疫苗,医疗器械概念",B
300348.SZ,SZSE.300348,长亮科技,计算机,软件开发,垂直应用软件,"AIGC概念,DeepSeek概念,阿里概念,财税数字化,创业板综,大数据,富时罗素,国产软件,鸿蒙概念,互联金融,华为概念,华为欧拉,化债(AMC)概念,跨境支付,人工智能,融资融券,深股通,深圳特区,数据要素,数字货币,腾讯云,信创",A
300357.SZ,SZSE.300357,我武生物,医药生物,生物制品,其他生物制品,"创新药,创业板综,独家药品,富时罗素,化妆品概念,人工智能,融资融券,社保重仓,深成500,深股通,专精特新",B
300373.SZ,SZSE.300373,扬杰科技,电子,半导体,分立器件,"5G概念,IGBT概念,MSCI中国,半导体概念,充电桩,储能,创业板综,创业成份,氮化镓,第三代半导体,富时罗素,国产芯片,华为概念,汽车芯片,融资融券,深成500,深股通,太阳能,碳化硅,小米汽车,英伟达概念,中芯概念,中证500",A
300378.SZ,SZSE.300378,鼎捷数智,计算机,软件开发,横向通用软件,"AIGC概念,AI应用,AI智能体,C2M概念,ChatGPT概念,DeepSeek概念,ERP概念,阿里概念,百度概念,半导体概念,财税数字化,创业板综,大数据,多模态AI,富士康,工业互联,国产软件,华为概念,人工智能,融资融券,深股通,数字经济,新零售,新型工业化,信创,虚拟机器人,云计算,转债标的",A
300383.SZ,SZSE.300383,光环新网,通信,通信服务,通信应用增值服务,"DeepSeek概念,VPN,阿里概念,百度概念,创业板综,创业成份,大数据,东数西算,抖音概念(字节概念),富时罗素,区块链,融资融券,深成500,深股通,数据中心,数字经济,算力概念,物联网,云计算,中证500",A
300390.SZ,SZSE.300390,天华新能,电力设备,电池,电池化学品,"半导体概念,储能,创业板综,独角兽,反内卷概念,富时罗素,固态电池,华为概念,融资融券,深成500,深股通,新能源车,医疗器械概念,中芯概念,中证500,锂电池,锂矿概念",A
300394.SZ,SZSE.300394,天孚通信,通信,通信设备,通信网络设备及器件,"5G概念,CPO概念,HS300_,MSCI中国,百元股,创业板综,创业成份,富时罗素,华为概念,基金重仓,融资融券,深成500,深股通,深证100R,算力概念,专精特新",A
300395.SZ,SZSE.300395,菲利华,国防军工,航空装备Ⅱ,航空装备Ⅲ,"5G概念,OLED,半导体概念,创业板综,创业成份,富时罗素,基金重仓,机构重仓,军民融合,融资融券,深成500,深股通,太阳能,新材料,中证500",A
300408.SZ,SZSE.300408,三环集团,电子,元件,被动元件,"5G概念,HS300_,MLCC,MSCI中国,被动元件,创业板综,创业成份,富时罗素,华为概念,机构重仓,燃料电池,融资融券,深成500,深股通,深证100R,小米概念,新材料,证金持股,智能穿戴",A
300409.SZ,SZSE.300409,道氏技术,电力设备,电池,电池化学品,"2025中报预增,AI芯片,创业板综,动力电池回收,股权激励,固态电池,机器人概念,钠离子电池,氢能源,燃料电池,人工智能,人脑工程,人形机器人,融资融券,深股通,石墨烯,小金属概念,新材料,锂电池",A
300413.SZ,SZSE.300413,芒果超媒,传媒,数字媒体,视频媒体,"AIGC概念,AI应用,AI语料,HS300_,MSCI中国,创业板综,创业成份,电商概念,独角兽,短剧互动游戏,多模态AI,富时罗素,华为概念,盲盒经济,区块链,人工智能,融资融券,深成500,深股通,深证100R,网红经济,虚拟数字人,央国企改革,影视概念,元宇宙概念,在线教育,知识产权",A
300418.SZ,SZSE.300418,昆仑万维,传媒,游戏Ⅱ,游戏Ⅲ,"AIGC概念,AI芯片,AI应用,AI语料,AI智能体,ChatGPT概念,DeepSeek概念,HS300_,MSCI中国,Sora概念,Web3.0,阿里概念,创投,创业板综,创业成份,抖音概念(字节概念),独角兽,短剧互动游戏,多模态AI,富时罗素,股权激励,国产芯片,区块链,人工智能,融资融券,深成500,深股通,深证100R,算力概念,网络游戏,无人驾驶,虚拟数字人,医疗器械概念,元宇宙概念,在线教育",A
300432.SZ,SZSE.300432,富临精工,电力设备,电池,电池化学品,"创业板综,创业成份,华为概念,华为汽车,机器人概念,减速器,汽车热管理,人形机器人,融资融券,深成500,深股通,西部大开发,新能源车,中证500,锂电池,麒麟电池",A
300433.SZ,SZSE.300433,蓝思科技,电子,消费电子,消费电子零部件及组装,"3D玻璃,AH股,AIPC,AI眼镜,HS300_,MSCI中国,OLED,充电桩,创业板综,创业成份,电子烟,富时罗素,工业互联,华为概念,混合现实,机器人概念,减速器,蓝宝石,苹果概念,人脑工程,人形机器人,荣耀概念,融资融券,柔性屏(折叠屏),商业航天,深成500,深股通,深证100R,太阳能,特斯拉,无线耳机,小米概念,小米汽车,新材料,新能源车,虚拟现实,液冷概念,元宇宙概念,智能穿戴,智能家居",A
300450.SZ,SZSE.300450,先导智能,电力设备,电池,锂电专用设备,"MSCI中国,储能,创业板综,创业成份,独角兽,富时罗素,固态电池,机器视觉,氢能源,燃料电池,人工智能,融资融券,深成500,深股通,太阳能,特斯拉,新能源,新型工业化,中证500,锂电池",A
300454.SZ,SZSE.300454,深信服,计算机,软件开发,横向通用软件,"AI应用,MSCI中国,VPN,百元股,创业板综,创业成份,富时罗素,股权激励,人工智能,融资融券,深成500,深股通,深圳特区,数字经济,腾讯云,网络安全,物联网,信创,英伟达概念,云计算,中证500,转债标的",A
300458.SZ,SZSE.300458,全志科技,电子,半导体,数字芯片设计,"2025三季报预增,EDR概念,WiFi,阿里概念,百度概念,半导体概念,边缘计算,超清视频,车联网(车路云),创业板综,创业成份,富时罗素,国产芯片,华为概念,机器人概念,汽车芯片,人工智能,融资融券,深成500,深股通,算力概念,无人驾驶,物联网,小米概念,虚拟现实,智能穿戴,中芯概念,中证500",A
300467.SZ,SZSE.300467,迅游科技,传媒,游戏Ⅱ,游戏Ⅲ,"创投,创业板综,低空经济,飞行汽车(eVTOL),华为概念,网络游戏,西部大开发",A
